movieId,avgScore
1,4.84
2,4.76
3,3.98
4,4.34
5,4.08
6,4.14
7,3.66
8,4.6
9,4.72
10,4.87
11,4.11
12,4.77
13,4.52
14,4.15
15,4.46
16,4.68
17,4.79
18,4.63
19,4.4
20,4.87
21,4.74
22,4.39
23,4.85
24,4.76
25,4.43
26,4.2
27,4.51
28,4.63
29,4.01
30,4.42
31,4.51
32,4.68
33,3.63
34,4.73
35,4.47
36,4.9
37,4.69
38,4.54
39,4.26
40,4.41
41,4.37
42,4.58
43,4.56
44,4.73
45,4.4
46,3.97
47,4.74
48,4.8
49,4.76
50,4.07
51,4.77
52,4.45
53,4.75
54,4.9
55,4.0
56,4.44
57,4.63
58,4.48
59,4.67
60,3.98
61,4.64
62,4.64
63,4.32
64,4.56
65,4.98
66,4.61
67,4.75
68,4.68
69,4.62
70,4.62
71,4.15
72,4.46
73,4.79
74,4.49
75,4.66
76,2.77
77,4.62
78,4.59
79,4.87
80,4.33
81,4.85
82,4.83
83,4.56
84,4.18
85,4.44
86,4.63
87,4.56
88,4.5
89,4.19
90,4.77
91,4.38
92,4.22
93,4.71
94,4.62
95,4.37
96,4.69
97,4.54
98,3.89
99,4.28
100,4.02
101,4.29
102,3.83
103,4.5
104,3.58
105,4.25
106,3.83
107,4.31
